Region,Month,Retail price,Year
ISONE,4,9.61,2001
ISONE,4,9.77,2002
ISONE,4,9.91,2003
ISONE,4,10.61,2004
ISONE,4,11.61,2005
ISONE,4,15.13,2006
ISONE,4,16.64,2007
ISONE,4,17.33,2008
ISONE,4,18.09,2009
ISONE,4,17.56,2010
ISONE,4,16.41,2011
ISONE,4,15.59,2012
ISONE,4,15.47,2013
ISONE,4,17.1,2014
ISONE,4,18.55,2015
ISONE,4,17.56,2016
ISONE,4,17.26,2017
ISONE,4,18.34,2018
ISONE,4,19.54,2019
ISONE,4,20.54,2020
ISONE,4,18.78,2021
ISONE,4,22.14,2022
ISONE,4,26.29,2023
ISONE,4,24.24,2024
ISONE,4,27.33,2025
ISONE,8,9.89,2001
ISONE,8,9.64,2002
ISONE,8,10.52,2003
ISONE,8,11.05,2004
ISONE,8,12.45,2005
ISONE,8,15.6,2006
ISONE,8,16.14,2007
ISONE,8,19.24,2008
ISONE,8,18.02,2009
ISONE,8,17.19,2010
ISONE,8,16.17,2011
ISONE,8,15.41,2012
ISONE,8,15.48,2013
ISONE,8,16.89,2014
ISONE,8,16.69,2015
ISONE,8,16.73,2016
ISONE,8,17.64,2017
ISONE,8,18.36,2018
ISONE,8,18.47,2019
ISONE,8,19.67,2020
ISONE,8,16.91,2021
ISONE,8,22.95,2022
ISONE,8,23.91,2023
ISONE,8,25.73,2024
ISONE,12,9.66,2001
ISONE,12,9.61,2002
ISONE,12,10.15,2003
ISONE,12,9.1,2004
ISONE,12,12.14,2005
ISONE,12,16.09,2006
ISONE,12,16.09,2007
ISONE,12,17.88,2008
ISONE,12,17.77,2009
ISONE,12,16.93,2010
ISONE,12,16.34,2011
ISONE,12,15.4,2012
ISONE,12,15.83,2013
ISONE,12,17.39,2014
ISONE,12,16.73,2015
ISONE,12,16.7,2016
ISONE,12,17.46,2017
ISONE,12,18.8,2018
ISONE,12,18.14,2019
ISONE,12,17.98,2020
ISONE,12,18.14,2021
ISONE,12,21.25,2022
ISONE,12,23.04,2023
ISONE,12,25.6,2024
ISONE,2,9.06,2001
ISONE,2,9.56,2002
ISONE,2,9.57,2003
ISONE,2,10.93,2004
ISONE,2,11.72,2005
ISONE,2,14.22,2006
ISONE,2,17.14,2007
ISONE,2,17.12,2008
ISONE,2,18.35,2009
ISONE,2,17.56,2010
ISONE,2,16.21,2011
ISONE,2,15.54,2012
ISONE,2,15.77,2013
ISONE,2,17.73,2014
ISONE,2,19.27,2015
ISONE,2,17.92,2016
ISONE,2,17.37,2017
ISONE,2,18.66,2018
ISONE,2,19.7,2019
ISONE,2,19.73,2020
ISONE,2,19.28,2021
ISONE,2,23.21,2022
ISONE,2,27.08,2023
ISONE,2,24.71,2024
ISONE,2,29.15,2025
ISONE,1,9.76,2001
ISONE,1,9.64,2002
ISONE,1,9.45,2003
ISONE,1,10.43,2004
ISONE,1,11.3,2005
ISONE,1,13.19,2006
ISONE,1,16.97,2007
ISONE,1,16.93,2008
ISONE,1,18.13,2009
ISONE,1,17.63,2010
ISONE,1,16.79,2011
ISONE,1,15.88,2012
ISONE,1,15.5,2013
ISONE,1,17.18,2014
ISONE,1,18.49,2015
ISONE,1,17.18,2016
ISONE,1,17.08,2017
ISONE,1,18.34,2018
ISONE,1,19.07,2019
ISONE,1,19.19,2020
ISONE,1,18.29,2021
ISONE,1,19.86,2022
ISONE,1,25.59,2023
ISONE,1,23.78,2024
ISONE,1,27.12,2025
ISONE,7,9.78,2001
ISONE,7,10.14,2002
ISONE,7,10.42,2003
ISONE,7,10.78,2004
ISONE,7,12.37,2005
ISONE,7,14.82,2006
ISONE,7,16.7,2007
ISONE,7,18.2,2008
ISONE,7,18.07,2009
ISONE,7,17.44,2010
ISONE,7,16.35,2011
ISONE,7,15.49,2012
ISONE,7,15.53,2013
ISONE,7,16.66,2014
ISONE,7,17.04,2015
ISONE,7,17.15,2016
ISONE,7,17.78,2017
ISONE,7,18.04,2018
ISONE,7,18.17,2019
ISONE,7,19.27,2020
ISONE,7,19,2021
ISONE,7,17.74,2022
ISONE,7,22.28,2023
ISONE,7,23.91,2024
ISONE,6,9.56,2001
ISONE,6,9.68,2002
ISONE,6,10.37,2003
ISONE,6,10.95,2004
ISONE,6,12.34,2005
ISONE,6,14.72,2006
ISONE,6,16.51,2007
ISONE,6,17.64,2008
ISONE,6,18.22,2009
ISONE,6,17.39,2010
ISONE,6,16.41,2011
ISONE,6,15.37,2012
ISONE,6,15.67,2013
ISONE,6,16.93,2014
ISONE,6,18.13,2015
ISONE,6,17.6,2016
ISONE,6,17.49,2017
ISONE,6,18.55,2018
ISONE,6,19.41,2019
ISONE,6,18.58,2020
ISONE,6,17.71,2021
ISONE,6,21.33,2022
ISONE,6,24.3,2023
ISONE,6,22.11,2024
ISONE,3,9.38,2001
ISONE,3,9.55,2002
ISONE,3,9.63,2003
ISONE,3,10.19,2004
ISONE,3,11.63,2005
ISONE,3,14.08,2006
ISONE,3,16.73,2007
ISONE,3,16.56,2008
ISONE,3,18.12,2009
ISONE,3,17.5,2010
ISONE,3,16.37,2011
ISONE,3,15.41,2012
ISONE,3,15.67,2013
ISONE,3,17.55,2014
ISONE,3,19.16,2015
ISONE,3,17.82,2016
ISONE,3,17.41,2017
ISONE,3,18.21,2018
ISONE,3,19.17,2019
ISONE,3,19.44,2020
ISONE,3,19.09,2021
ISONE,3,20.71,2022
ISONE,3,25.98,2023
ISONE,3,24.03,2024
ISONE,3,28.12,2025
ISONE,5,9.57,2001
ISONE,5,9.82,2002
ISONE,5,10.34,2003
ISONE,5,10.7,2004
ISONE,5,11.92,2005
ISONE,5,14.42,2006
ISONE,5,16.53,2007
ISONE,5,17.85,2008
ISONE,5,18.11,2009
ISONE,5,17.6,2010
ISONE,5,16.34,2011
ISONE,5,15.49,2012
ISONE,5,15.58,2013
ISONE,5,16.67,2014
ISONE,5,18.67,2015
ISONE,5,17.7,2016
ISONE,5,17.56,2017
ISONE,5,17.78,2018
ISONE,5,19.06,2019
ISONE,5,19.76,2020
ISONE,5,17.6,2021
ISONE,5,20.4,2022
ISONE,5,23.81,2023
ISONE,5,22.14,2024
ISONE,11,9.6,2001
ISONE,11,9.68,2002
ISONE,11,10.17,2003
ISONE,11,9.39,2004
ISONE,11,12.27,2005
ISONE,11,14.99,2006
ISONE,11,15.99,2007
ISONE,11,18.11,2008
ISONE,11,17.95,2009
ISONE,11,17.38,2010
ISONE,11,16.35,2011
ISONE,11,15.78,2012
ISONE,11,15.95,2013
ISONE,11,16.84,2014
ISONE,11,16.88,2015
ISONE,11,17.02,2016
ISONE,11,17.62,2017
ISONE,11,18.52,2018
ISONE,11,17.6,2019
ISONE,11,18.22,2020
ISONE,11,17.99,2021
ISONE,11,20.33,2022
ISONE,11,22.48,2023
ISONE,11,25.18,2024
ISONE,10,9.75,2001
ISONE,10,9.77,2002
ISONE,10,10.71,2003
ISONE,10,9.16,2004
ISONE,10,12.28,2005
ISONE,10,14.89,2006
ISONE,10,15.97,2007
ISONE,10,18.33,2008
ISONE,10,18.13,2009
ISONE,10,17.3,2010
ISONE,10,16.31,2011
ISONE,10,15.77,2012
ISONE,10,15.84,2013
ISONE,10,16.72,2014
ISONE,10,17.05,2015
ISONE,10,17.07,2016
ISONE,10,18.03,2017
ISONE,10,18.32,2018
ISONE,10,17.94,2019
ISONE,10,18.57,2020
ISONE,10,18.37,2021
ISONE,10,20.47,2022
ISONE,10,23.2,2023
ISONE,10,25.33,2024
ISONE,9,9.7,2001
ISONE,9,9.64,2002
ISONE,9,10.69,2003
ISONE,9,9.61,2004
ISONE,9,12.56,2005
ISONE,9,15.84,2006
ISONE,9,16,2007
ISONE,9,18.37,2008
ISONE,9,17.87,2009
ISONE,9,17.2,2010
ISONE,9,16.11,2011
ISONE,9,15.46,2012
ISONE,9,15.68,2013
ISONE,9,16.79,2014
ISONE,9,16.66,2015
ISONE,9,16.77,2016
ISONE,9,17.93,2017
ISONE,9,19.12,2018
ISONE,9,17.83,2019
ISONE,9,18.83,2020
ISONE,9,19.14,2021
ISONE,9,23.29,2022
ISONE,9,23.94,2023
ISONE,9,27.14,2024
ISONE,4,9.41,2001
ISONE,4,10.16,2002
ISONE,4,9.82,2003
ISONE,4,9.35,2004
ISONE,4,9.95,2005
ISONE,4,11.54,2006
ISONE,4,14.24,2007
ISONE,4,13.59,2008
ISONE,4,12.77,2009
ISONE,4,12.46,2010
