Retail price,Wholesale price
4.96,3
6.6,3
8.66,3
8.9,3
7.64,3
7.29,3
8.26,3
10.31,3
4.96,3.3
6.6,3.3
8.66,3.3
8.9,3.3
7.64,3.3
7.29,3.3
8.26,3.3
10.31,3.3
4.96,3
6.6,3
8.66,3
8.9,3
7.64,3
7.29,3
8.26,3
10.31,3
4.96,3.06
6.6,3.06
8.66,3.06
8.9,3.06
7.64,3.06
7.29,3.06
8.26,3.06
10.31,3.06
4.96,2.7
6.6,2.7
8.66,2.7
8.9,2.7
7.64,2.7
7.29,2.7
8.26,2.7
10.31,2.7
4.96,2.46
6.6,2.46
8.66,2.46
8.9,2.46
7.64,2.46
7.29,2.46
8.26,2.46
10.31,2.46
4.96,2.46
6.6,2.46
8.66,2.46
8.9,2.46
7.64,2.46
7.29,2.46
8.26,2.46
10.31,2.46
4.96,2.58
6.6,2.58
8.66,2.58
8.9,2.58
7.64,2.58
7.29,2.58
8.26,2.58
10.31,2.58
4.96,3.06
6.6,3.06
8.66,3.06
8.9,3.06
7.64,3.06
7.29,3.06
8.26,3.06
10.31,3.06
4.96,3.84
6.6,3.84
8.66,3.84
8.9,3.84
7.64,3.84
7.29,3.84
8.26,3.84
10.31,3.84
4.96,3.18
6.6,3.18
8.66,3.18
8.9,3.18
7.64,3.18
7.29,3.18
8.26,3.18
10.31,3.18
4.96,3.06
6.6,3.06
8.66,3.06
8.9,3.06
7.64,3.06
7.29,3.06
8.26,3.06
10.31,3.06
4.96,3.48
6.6,3.48
8.66,3.48
8.9,3.48
7.64,3.48
7.29,3.48
8.26,3.48
10.31,3.48
4.96,3.36
6.6,3.36
8.66,3.36
8.9,3.36
7.64,3.36
7.29,3.36
8.26,3.36
10.31,3.36
4.96,3.24
6.6,3.24
8.66,3.24
8.9,3.24
7.64,3.24
7.29,3.24
8.26,3.24
10.31,3.24
4.96,3
6.6,3
8.66,3
8.9,3
7.64,3
7.29,3
8.26,3
10.31,3
4.96,2.82
6.6,2.82
8.66,2.82
8.9,2.82
7.64,2.82
7.29,2.82
8.26,2.82
10.31,2.82
4.96,3.12
6.6,3.12
8.66,3.12
8.9,3.12
7.64,3.12
7.29,3.12
8.26,3.12
10.31,3.12
4.96,3
6.6,3
8.66,3
8.9,3
7.64,3
7.29,3
8.26,3
10.31,3
5.01,2.76
6.57,2.76
8.66,2.76
10.02,2.76
7.76,2.76
7.48,2.76
8.56,2.76
10.42,2.76
5.01,2.58
6.57,2.58
8.66,2.58
10.02,2.58
7.76,2.58
7.48,2.58
8.56,2.58
10.42,2.58
5.01,2.46
6.57,2.46
8.66,2.46
10.02,2.46
7.76,2.46
7.48,2.46
8.56,2.46
10.42,2.46
5.01,3.78
6.57,3.78
8.66,3.78
10.02,3.78
7.76,3.78
7.48,3.78
8.56,3.78
10.42,3.78
5.01,3.36
6.57,3.36
8.66,3.36
10.02,3.36
7.76,3.36
7.48,3.36
8.56,3.36
10.42,3.36
5.01,3.18
6.57,3.18
8.66,3.18
10.02,3.18
7.76,3.18
7.48,3.18
8.56,3.18
10.42,3.18
5.01,2.94
6.57,2.94
8.66,2.94
10.02,2.94
7.76,2.94
7.48,2.94
8.56,2.94
10.42,2.94
