Year,Penetration level,2017 €/MWh,Region,Notes
2015,36.4%,8.99,UK,"Offshore wind, CCC 2015"
2015,36.3%,19.11,UK,"Offshore wind, CCC 2015"
2015,36.1%,32.32,UK,"Offshore wind, CCC 2015"
2015,47.0%,51.86,UK,"Offshore wind, CCC 2015"
2015,48.0%,49.75,UK,"Offshore wind, CCC 2015"
2015,51.2%,19.53,UK,"Offshore wind, CCC 2015"
2015,51.8%,17.99,UK,"Offshore wind, CCC 2015"
2015,51.3%,9.98,UK,"Offshore wind, CCC 2015"
2015,51.9%,11.52,UK,"Offshore wind, CCC 2015"
2015,26.6%,14.90,UK,"Offshore wind, No progress"
2015,37.0%,44.69,UK,"Offshore wind, No progress"
2015,50.4%,68.02,UK,"Offshore wind, No progress"
2015,26.6%,14.33,UK,"Offshore wind, Moderate progress"
2015,37.0%,15.46,UK,"Offshore wind, Moderate progress"
2015,47.0%,15.74,UK,"Offshore wind, Moderate progress"
2015,26.5%,9.28,UK,"Offshore wind, Fast progress"
2015,27.9%,10.40,UK,"Offshore wind, Fast progress"
2015,35.5%,10.82,UK,"Offshore wind, Fast progress"
2015,37.0%,10.68,UK,"Offshore wind, Fast progress"
2015,41.5%,9.13,UK,"Offshore wind, Fast progress"
2015,46.0%,10.82,UK,"Offshore wind, Fast progress"
2015,46.0%,11.52,UK,"Offshore wind, Fast progress"
2015,53.8%,15.60,UK,"Offshore wind, Fast progress"
2015,53.8%,16.02,UK,"Offshore wind, Fast progress"
2015,56.0%,26.14,UK,"Offshore wind, Fast progress"
2015,60.2%,24.73,UK,"Offshore wind, Fast progress"
2015,60.2%,31.90,UK,"Offshore wind, Fast progress"
2015,45.2%,7.73,UK,"Offshore wind, Maximum progress"
2015,45.3%,7.87,UK,"Offshore wind, Maximum progress"
2015,52.8%,9.42,UK,"Offshore wind, Maximum progress"
2015,53.0%,9.42,UK,"Offshore wind, Maximum progress"
2015,58.9%,10.96,UK,"Offshore wind, Maximum progress"
2015,58.9%,10.40,UK,"Offshore wind, Maximum progress"
2015,36.2%,32.32,UK,"Onshore wind, CCC 2015"
2015,36.4%,18.97,UK,"Onshore wind, CCC 2015"
2015,36.4%,8.85,UK,"Onshore wind, CCC 2015"
2015,47.1%,51.72,UK,"Onshore wind, CCC 2015"
2015,48.0%,49.75,UK,"Onshore wind, CCC 2015"
2015,51.3%,19.39,UK,"Onshore wind, CCC 2015"
2015,51.8%,17.85,UK,"Onshore wind, CCC 2015"
2015,51.4%,9.70,UK,"Onshore wind, CCC 2015"
2015,51.9%,11.38,UK,"Onshore wind, CCC 2015"
2015,26.6%,15.32,UK,"Onshore wind, No progress"
2015,37.0%,32.04,UK,"Onshore wind, No progress"
2015,50.6%,56.50,UK,"Onshore wind, No progress"
2015,26.6%,14.48,UK,"Onshore wind, Moderate progress"
2015,37.0%,16.72,UK,"Onshore wind, Moderate progress"
2015,47.0%,14.33,UK,"Onshore wind, Moderate progress"
2015,26.6%,9.13,UK,"Onshore wind, Fast progress"
2015,27.9%,10.12,UK,"Onshore wind, Fast progress"
2015,35.6%,6.75,UK,"Onshore wind, Fast progress"
2015,37.0%,10.54,UK,"Onshore wind, Fast progress"
2015,41.5%,8.85,UK,"Onshore wind, Fast progress"
2015,46.0%,10.12,UK,"Onshore wind, Fast progress"
2015,46.0%,10.54,UK,"Onshore wind, Fast progress"
2015,53.8%,10.26,UK,"Onshore wind, Fast progress"
2015,53.8%,11.95,UK,"Onshore wind, Fast progress"
2015,56.0%,22.77,UK,"Onshore wind, Fast progress"
