Penetration level,2017 €/MWh,Region
20.0%,0.93,UK
2.0%,6.15,in Austria
4.0%,8.51,in Austria
6.0%,10.87,in Austria
8.0%,11.99,in Austria
10.0%,12.61,in Austria
12.0%,13.12,in Austria
14.0%,13.53,in Austria
16.0%,13.74,in Austria
18.0%,13.94,in Austria
2.0%,6.15,in Austria
4.0%,8.51,in Austria
6.0%,10.56,in Austria
8.0%,10.56,in Austria
10.0%,11.28,in Austria
12.0%,11.69,in Austria
14.0%,12.10,in Austria
16.0%,12.30,in Austria
18.0%,12.51,in Austria
2.0%,9.23,in Belgium
4.0%,9.23,in Belgium
6.0%,10.76,in Belgium
8.0%,11.58,in Belgium
10.0%,12.10,in Belgium
12.0%,12.40,in Belgium
14.0%,12.71,in Belgium
16.0%,12.81,in Belgium
18.0%,13.02,in Belgium
2.0%,8.41,in Belgium
4.0%,8.41,in Belgium
6.0%,10.05,in Belgium
8.0%,10.05,in Belgium
10.0%,10.05,in Belgium
12.0%,10.05,in Belgium
14.0%,10.46,in Belgium
16.0%,10.87,in Belgium
18.0%,11.07,in Belgium
2.0%,10.87,in Czech Republic
4.0%,10.87,in Czech Republic
6.0%,10.87,in Czech Republic
8.0%,11.79,in Czech Republic
10.0%,12.40,in Czech Republic
12.0%,12.71,in Czech Republic
14.0%,13.02,in Czech Republic
16.0%,13.22,in Czech Republic
18.0%,13.43,in Czech Republic
2.0%,10.05,in Czech Republic
4.0%,10.05,in Czech Republic
6.0%,10.05,in Czech Republic
8.0%,11.07,in Czech Republic
10.0%,11.07,in Czech Republic
12.0%,11.07,in Czech Republic
14.0%,11.07,in Czech Republic
16.0%,11.07,in Czech Republic
18.0%,11.38,in Czech Republic
2.0%,14.76,in UK
4.0%,14.76,in UK
6.0%,14.76,in UK
8.0%,14.76,in UK
10.0%,14.76,in UK
12.0%,14.76,in UK
14.0%,14.76,in UK
16.0%,14.76,in UK
18.0%,14.76,in UK
2.0%,9.02,in UK
4.0%,9.02,in UK
6.0%,9.02,in UK
8.0%,9.02,in UK
10.0%,9.53,in UK
12.0%,9.53,in UK
14.0%,9.53,in UK
16.0%,9.94,in UK
18.0%,10.25,in UK
2.0%,12.81,in Spain
4.0%,12.81,in Spain
6.0%,12.81,in Spain
8.0%,12.81,in Spain
10.0%,12.81,in Spain
12.0%,13.12,in Spain
14.0%,13.22,in Spain
16.0%,13.33,in Spain
18.0%,13.33,in Spain
2.0%,6.77,in Spain
4.0%,6.77,in Spain
6.0%,6.77,in Spain
8.0%,8.30,in Spain
10.0%,8.30,in Spain
12.0%,8.30,in Spain
14.0%,8.30,in Spain
16.0%,8.30,in Spain
18.0%,8.30,in Spain
2.0%,12.10,in Germany
4.0%,12.10,in Germany
6.0%,12.61,in Germany
8.0%,12.71,in Germany
10.0%,12.92,in Germany
12.0%,13.02,in Germany
14.0%,13.12,in Germany
16.0%,13.12,in Germany
18.0%,13.12,in Germany
2.0%,9.43,in Germany
4.0%,10.15,in Germany
6.0%,10.15,in Germany
8.0%,10.15,in Germany
10.0%,10.15,in Germany
12.0%,10.15,in Germany
14.0%,10.15,in Germany
16.0%,10.15,in Germany
18.0%,10.35,in Germany
2.0%,14.86,In Europe
4.0%,14.86,In Europe
6.0%,14.86,In Europe
8.0%,14.86,In Europe
10.0%,14.86,In Europe
12.0%,14.86,In Europe
14.0%,14.86,In Europe
16.0%,14.86,In Europe
18.0%,14.86,In Europe
2.0%,9.02,In Europe
4.0%,9.02,In Europe
6.0%,9.02,In Europe
8.0%,9.02,In Europe
10.0%,9.64,In Europe
12.0%,9.64,In Europe
14.0%,9.64,In Europe
16.0%,10.05,In Europe
18.0%,10.35,In Europe
2.0%,12.61,In France
4.0%,14.25,In France
6.0%,14.56,In France
8.0%,14.56,In France
10.0%,14.56,In France
12.0%,14.76,In France
14.0%,14.97,In France
16.0%,15.07,In France
18.0%,15.17,In France
2.0%,11.79,In France
4.0%,11.79,In France
6.0%,11.79,In France
8.0%,11.79,In France
10.0%,11.79,In France
12.0%,11.79,In France
14.0%,11.79,In France
16.0%,11.79,In France
18.0%,12.30,In France
2.0%,-23.89,In Greece
4.0%,-10.56,In Greece
6.0%,-6.36,In Greece
8.0%,-0.82,In Greece
10.0%,2.67,In Greece
12.0%,4.92,In Greece
14.0%,6.05,In Greece
16.0%,7.48,In Greece
18.0%,8.51,In Greece
2.0%,-23.89,In Greece
4.0%,-10.56,In Greece
6.0%,-6.36,In Greece
8.0%,-0.82,In Greece
10.0%,0.51,In Greece
12.0%,2.05,In Greece
14.0%,2.05,In Greece
16.0%,2.05,In Greece
18.0%,2.05,In Greece
2.0%,9.84,In Italy
4.0%,11.99,In Italy
6.0%,12.61,In Italy
8.0%,13.12,In Italy
10.0%,13.22,In Italy
12.0%,13.43,In Italy
14.0%,13.53,In Italy
16.0%,13.53,In Italy
18.0%,13.74,In Italy
2.0%,3.49,In Italy
4.0%,4.92,In Italy
6.0%,4.92,In Italy
8.0%,5.64,In Italy
10.0%,5.64,In Italy
12.0%,5.64,In Italy
14.0%,6.15,In Italy
16.0%,6.15,In Italy
18.0%,6.36,In Italy
