Penetration level,2017 €/MWh,Region
40.0%,26.23,n/a
80.0%,17.66,n/a
4.0%,0.03,UK
8.0%,0.14,UK
12.0%,0.26,UK
16.0%,0.38,UK
20.0%,0.52,UK
4.0%,0.09,UK
8.0%,0.26,UK
12.0%,0.46,UK
16.0%,0.71,UK
20.0%,0.95,UK
33.0%,20.23,California
5.0%,3.37,EU
10.0%,4.14,EU
15.0%,4.22,EU
20.0%,4.24,EU
25.0%,4.66,EU
30.0%,5.02,EU
35.0%,4.90,EU
40.0%,5.39,EU
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
,,In UK
27.1%,6.43,In UK
32.6%,7.57,In UK
41.7%,9.29,In UK
5.0%,1.57,UK
10.0%,2.70,UK
15.0%,3.26,UK
20.0%,3.82,UK
5.3%,3.15,US
7.6%,4.27,US
15.0%,2.59,US
20.0%,3.48,US
25.0%,3.82,US
2.0%,0.34,US
15.0%,4.31,Ireland
5.3%,2.87,US
7.5%,3.90,US
20.0%,4.51,US
30.0%,5.54,US
10.0%,2.19,Finland
30.0%,4.29,Finland
10.0%,2.19,Finland
30.0%,4.29,Finland
10.0%,2.19,Finland
30.0%,4.29,Finland
10.0%,1.54,France
30.0%,4.06,France
10.0%,1.54,France
30.0%,4.06,France
10.0%,1.54,France
30.0%,4.06,France
10.0%,2.67,Germany
30.0%,5.19,Germany
10.0%,2.67,Germany
30.0%,5.19,Germany
10.0%,2.67,Germany
30.0%,5.19,Germany
10.0%,6.18,Korea
30.0%,11.46,Korea
10.0%,6.18,Korea
30.0%,11.46,Korea
10.0%,6.18,Korea
30.0%,11.46,Korea
10.0%,6.18,UK
30.0%,11.46,UK
10.0%,6.18,UK
30.0%,11.46,UK
10.0%,6.18,UK
30.0%,11.46,UK
10.0%,1.62,US
30.0%,4.05,US
10.0%,1.62,US
30.0%,4.05,US
10.0%,1.62,US
30.0%,4.05,US
5.0%,1.50,UK
10.0%,2.51,UK
15.0%,3.14,UK
20.0%,3.57,UK
5.4%,3.03,Colorado
7.5%,4.07,Colorado
15.0%,2.47,Minesota
20.0%,3.30,Minesota
25.0%,3.62,Minesota
2.0%,0.36,California
10.5%,2.89,GER
10.5%,2.55,GER
28.3%,2.13,DEN
28.3%,1.15,DEN
11.2%,0.51,FIN
22.4%,0.90,FIN
9.7%,0.42,NOR
19.6%,0.34,NOR
9.7%,0.60,SWE
19.6%,0.88,SWE
35.0%,2.64,GER
35.0%,6.39,GER
19.0%,2.97,UK
19.0%,5.29,UK
25.0%,-0.11,US
25.0%,0.22,US
20.0%,3.74,US
25.0%,0.55,US
20.0%,1.10,n/a
20.0%,4.62,n/a
8.0%,2.42,n/a
1.3%,0.22,FIN
2.5%,0.35,FIN
5.0%,0.62,FIN
10.0%,1.13,FIN
