Year,Penetration level,2017 €/MWh,Region,Notes
2001,2.0%,-1.34,Germany,"Wind, Table 3"
2004,3.0%,0.00,Germany,"Wind, Table 3"
2005,3.5%,0.00,Germany,"Wind, Table 3"
2006,4.7%,2.41,Germany,"Wind, Table 3"
2007,4.9%,5.88,Germany,"Wind, Table 3"
2008,5.5%,6.81,Germany,"Wind, Table 3"
2009,7.1%,3.37,Germany,"Wind, Table 3"
2010,7.3%,2.20,Germany,"Wind, Table 3"
2011,8.8%,3.20,Germany,"Wind, Table 3"
2012,8.0%,5.20,Germany,"Wind, Table 3"
2006,0.4%,-20.47,Germany,"Solar, Table 3"
2007,0.5%,-7.06,Germany,"Solar, Table 3"
2008,0.7%,-18.16,Germany,"Solar, Table 3"
2009,1.1%,-5.62,Germany,"Solar, Table 3"
2010,2.1%,-5.51,Germany,"Solar, Table 3"
2011,3.3%,-5.34,Germany,"Solar, Table 3"
2012,4.5%,-2.08,Germany,"Solar, Table 3"
2013,10.0%,8.61,Germany,"Wind, Fig 9"
2013,20.0%,14.25,Germany,"Wind, Fig 9"
2013,30.0%,17.12,Germany,"Wind, Fig 9"
2013,10.0%,10.46,Germany,"Wind, Fig 19"
2013,20.0%,19.89,Germany,"Wind, Fig 19"
2013,30.0%,24.71,Germany,"Wind, Fig 19"
2013,5.0%,15.58,Germany,"Wind, Fig 10"
2013,10.0%,19.17,Germany,"Wind, Fig 10"
2013,15.0%,22.35,Germany,"Wind, Fig 10"
2013,20.0%,25.32,Germany,"Wind, Fig 10"
2013,25.0%,27.47,Germany,"Wind, Fig 10"
2013,30.0%,32.50,Germany,"Wind, Fig 10"
2013,35.0%,37.62,Germany,"Wind, Fig 10"
2013,40.0%,45.82,Germany,"Wind, Fig 10"
2013,5.0%,13.84,Germany,"Solar, Fig 10"
2013,10.0%,28.09,Germany,"Solar, Fig 10"
2013,15.0%,34.24,Germany,"Solar, Fig 10"
2013,20.0%,50.44,Germany,"Solar, Fig 10"
2013,25.0%,102.51,Germany,"Solar, Fig 10"
2015,0.1%,2.75,Various,"Wind, Fig 13"
2015,0.2%,-6.83,Various,"Wind, Fig 13"
2015,0.2%,-1.33,Various,"Wind, Fig 13"
2015,0.8%,-3.47,Various,"Wind, Fig 13"
2015,0.8%,-1.33,Various,"Wind, Fig 13"
2015,0.9%,-9.99,Various,"Wind, Fig 13"
2015,0.9%,7.24,Various,"Wind, Fig 13"
2015,0.9%,9.59,Various,"Wind, Fig 13"
2015,1.0%,2.65,Various,"Wind, Fig 13"
2015,1.9%,-1.33,Various,"Wind, Fig 13"
2015,5.0%,-3.47,Various,"Wind, Fig 13"
2015,5.0%,4.49,Various,"Wind, Fig 13"
2015,5.0%,8.67,Various,"Wind, Fig 13"
2015,6.0%,2.14,Various,"Wind, Fig 13"
2015,6.0%,3.06,Various,"Wind, Fig 13"
2015,6.0%,9.38,Various,"Wind, Fig 13"
2015,7.0%,7.14,Various,"Wind, Fig 13"
2015,7.2%,1.12,Various,"Wind, Fig 13"
2015,9.0%,1.22,Various,"Wind, Fig 13"
2015,10.0%,7.65,Various,"Wind, Fig 13"
2015,10.0%,9.38,Various,"Wind, Fig 13"
2015,10.0%,11.73,Various,"Wind, Fig 13"
2015,12.0%,11.42,Various,"Wind, Fig 13"
2015,12.0%,13.05,Various,"Wind, Fig 13"
2015,12.0%,17.84,Various,"Wind, Fig 13"
2015,15.0%,11.83,Various,"Wind, Fig 13"
2015,16.1%,17.44,Various,"Wind, Fig 13"
2015,19.0%,4.69,Various,"Wind, Fig 13"
2015,20.0%,4.69,Various,"Wind, Fig 13"
2015,20.0%,12.95,Various,"Wind, Fig 13"
2015,20.0%,18.15,Various,"Wind, Fig 13"
2015,20.0%,25.19,Various,"Wind, Fig 13"
2015,20.0%,39.46,Various,"Wind, Fig 13"
2015,25.0%,13.97,Various,"Wind, Fig 13"
2015,30.0%,10.71,Various,"Wind, Fig 13"
2015,30.0%,15.91,Various,"Wind, Fig 13"
2015,30.0%,18.05,Various,"Wind, Fig 13"
2015,30.0%,24.57,Various,"Wind, Fig 13"
2015,35.0%,21.72,Various,"Wind, Fig 13"
2015,35.4%,21.01,Various,"Wind, Fig 13"
2015,39.2%,17.33,Various,"Wind, Fig 13"
2015,40.0%,19.37,Various,"Wind, Fig 13"
2015,40.0%,21.01,Various,"Wind, Fig 13"
2015,40.0%,21.62,Various,"Wind, Fig 13"
2015,25.0%,11.45,Germany,"Wind, from text"
2015,10.0%,1.56,Germany,"Solar, from text"
2014,15.0%,3.96,Nordic,Table 4
2014,20.0%,3.64,Nordic,Table 4
2014,15.0%,0.10,Nordic,Table 4
2014,20.0%,0.42,Nordic,Table 4
2014,15.0%,0.00,Nordic,Table 4
2014,20.0%,0.00,Nordic,Table 4
